timestamp,open,high,low,close,volume,
2018-06-25 16:00:00,138.4700,139.0200,138.3800,138.8100,1017470,
2018-06-25 15:30:00,138.5600,138.6100,138.2900,138.4548,330234,
2018-06-25 15:00:00,138.8600,138.8800,138.2800,138.5800,263293,
2018-06-25 14:30:00,138.9500,139.0000,138.7600,138.8700,203670,
2018-06-25 14:00:00,138.8718,139.0700,138.8500,138.9500,292458,
2018-06-25 13:30:00,139.3500,139.3600,138.7600,138.8600,375099,
2018-06-25 13:00:00,139.3600,139.4600,139.0800,139.3400,348218,
2018-06-25 12:30:00,139.5200,139.5500,139.1500,139.3600,544095,
2018-06-25 12:00:00,139.0900,139.6400,139.0200,139.5392,620241,
2018-06-25 11:30:00,139.3500,139.4400,138.9704,139.0900,933735,
2018-06-25 11:00:00,138.9600,139.5350,138.7900,139.3700,848267,
2018-06-25 10:30:00,138.9800,139.0900,138.6300,138.9600,352791,
2018-06-25 10:00:00,140.2650,140.3100,138.8400,138.9600,556503,
2018-06-25 09:30:00,140.4000,140.4000,140.2200,140.2300,98613,
2018-06-22 16:00:00,141.7100,141.8100,141.1300,141.2800,598446,
2018-06-22 15:30:00,141.5300,141.7400,141.4800,141.7200,173131,
2018-06-22 15:00:00,141.4600,141.6300,141.3900,141.5411,115489,
2018-06-22 14:30:00,141.5600,141.6500,141.4200,141.4478,116675,
2018-06-22 14:00:00,141.5700,141.5800,141.4450,141.5600,117986,
2018-06-22 13:30:00,141.4600,141.6000,141.4200,141.5600,125926,
2018-06-22 13:00:00,141.3900,141.4847,141.3200,141.4642,77720,
2018-06-22 12:30:00,141.3000,141.4800,141.2186,141.3949,88870,
2018-06-22 12:00:00,141.3100,141.4800,141.2700,141.2801,128093,
2018-06-22 11:30:00,141.1200,141.3100,141.0797,141.2900,115594,
2018-06-22 11:00:00,141.1800,141.3900,140.9300,141.1200,199868,
2018-06-22 10:30:00,141.2700,141.6500,141.0900,141.1700,155976,
2018-06-22 10:00:00,141.6400,141.6900,140.7800,141.2600,277668,
