timestamp,open,high,low,close,volume
2018-06-06 15:59:00,102.4500,102.4600,102.4300,102.4350,133985
2018-06-06 15:58:00,102.4500,102.4700,102.4400,102.4500,199118
2018-06-06 15:57:00,102.4199,102.4600,102.4000,102.4550,157291
2018-06-06 15:56:00,102.4400,102.4600,102.4100,102.4200,114634
2018-06-06 15:55:00,102.4400,102.4500,102.4300,102.4400,70299
2018-06-06 15:54:00,102.4300,102.4500,102.4200,102.4400,85483
2018-06-06 15:53:00,102.4450,102.4450,102.4100,102.4350,122011
2018-06-06 15:52:00,102.4500,102.4600,102.4300,102.4500,65499
2018-06-06 15:51:00,102.4000,102.4500,102.3800,102.4400,122258
2018-06-06 15:50:00,102.3150,102.4800,102.2700,102.3975,228385
2018-06-06 15:49:00,102.3600,102.3800,102.3100,102.3100,140352
2018-06-06 15:48:00,102.3700,102.3700,102.3500,102.3600,45565
2018-06-06 15:47:00,102.3600,102.3800,102.3600,102.3650,27762
2018-06-06 15:46:00,102.3550,102.3700,102.3500,102.3675,9499
2018-06-06 15:45:00,102.3900,102.4000,102.3700,102.3900,15434
2018-06-06 15:44:00,102.3761,102.4000,102.3761,102.3900,38965
2018-06-06 15:43:00,102.3700,102.4020,102.3700,102.3750,32205
2018-06-06 15:42:00,102.3950,102.4050,102.3700,102.3750,40048
2018-06-06 15:41:00,102.4000,102.4258,102.3900,102.3950,46140
2018-06-06 15:40:00,102.4000,102.4200,102.3900,102.3941,26798
2018-06-06 15:39:00,102.3600,102.4100,102.3600,102.3950,34101
2018-06-06 15:38:00,102.3720,102.3800,102.3300,102.3600,32579
2018-06-06 15:37:00,102.4000,102.4075,102.3700,102.3758,19025
2018-06-06 15:36:00,102.3700,102.4000,102.3700,102.3950,18787
2018-06-06 15:35:00,102.3700,102.3750,102.3550,102.3650,19768
2018-06-06 15:34:00,102.3450,102.3900,102.3400,102.3700,16474
2018-06-06 15:33:00,102.3600,102.3650,102.3400,102.3401,46586
2018-06-06 15:32:00,102.3550,102.3625,102.3341,102.3542,24897
2018-06-06 15:31:00,102.3500,102.3550,102.3299,102.3500,61781
2018-06-06 15:30:00,102.3900,102.4000,102.3400,102.3500,31471
2018-06-06 15:29:00,102.3700,102.3950,102.3600,102.3800,23599
2018-06-06 15:28:00,102.4000,102.4000,102.3500,102.3700,39677
2018-06-06 15:27:00,102.4250,102.4300,102.4000,102.4000,20513
2018-06-06 15:26:00,102.4250,102.4300,102.4100,102.4250,20738
2018-06-06 15:25:00,102.4250,102.4250,102.4000,102.4250,23252
2018-06-06 15:24:00,102.4040,102.4300,102.3950,102.4210,25312
2018-06-06 15:23:00,102.3900,102.4100,102.3800,102.4001,22454
2018-06-06 15:22:00,102.3850,102.3988,102.3700,102.3969,22881
2018-06-06 15:21:00,102.3700,102.4000,102.3700,102.3850,16598
2018-06-06 15:20:00,102.4000,102.4000,102.3700,102.3768,19505
2018-06-06 15:19:00,102.4300,102.4400,102.3872,102.3950,72294
2018-06-06 15:18:00,102.4150,102.4400,102.4100,102.4300,19573
2018-06-06 15:17:00,102.4100,102.4200,102.4000,102.4200,24385
2018-06-06 15:16:00,102.3850,102.4300,102.3800,102.4150,33907
2018-06-06 15:15:00,102.4000,102.4000,102.3800,102.3850,15792
2018-06-06 15:14:00,102.3800,102.4000,102.3800,102.4000,12424
2018-06-06 15:13:00,102.3500,102.3850,102.3500,102.3750,20055
2018-06-06 15:12:00,102.3300,102.3450,102.3100,102.3450,15784
2018-06-06 15:11:00,102.3500,102.3700,102.3100,102.3350,50901
2018-06-06 15:10:00,102.3844,102.4000,102.3300,102.3550,26374
2018-06-06 15:09:00,102.4250,102.4300,102.3600,102.3700,34175
2018-06-06 15:08:00,102.4200,102.4300,102.4000,102.4250,18072
